item_name,n,n_num,num_share,p001,p01,p99,p999,oor_strict,oor_loose,delta_rows,flagged_rate_released_pct,flagged_rate_alt_pct
嗜碱性粒细胞百分数,97057,96927,0.9986605808957623,0.0,0.0,1.2,1.8,76,644,568,0.0784,0.6644
尿酸碱度,96276,94023,0.9765985292284681,5.5,5.5,7.5,8.0,9,566,557,0.0096,0.602
异常凝血酶原,31784,31703,0.9974515479486534,8.39106,10.7,24.0,62.88939999999966,64,615,551,0.2019,1.9399
免疫球蛋白M,32158,32124,0.9989427203184278,0.22,0.34,2.67,4.790160000000032,62,604,542,0.193,1.8802
补体C3,31932,31901,0.9990291870224226,0.559,0.68,1.47,1.71,61,601,540,0.1912,1.884
糖类抗原CA50,30430,28935,0.9508708511337496,0.21934,0.7134000000000003,16.0266,39.658739999999014,58,580,522,0.2004,2.0045
血浆蛋白C活性,28671,28635,0.9987443758501622,46.0,70.0,169.0,200.0,28,549,521,0.0978,1.9172
网织红血红蛋白含量表达值,30289,30064,0.9925715606325729,19.4,23.0,35.2,37.3,58,578,520,0.1929,1.9226
中荧光强度网织红细胞比率,30289,30064,0.9925715606325729,0.8,1.2,10.9,17.087400000000343,48,564,516,0.1597,1.876
抗凝血酶III活性,28642,28606,0.9987431045318065,66.0,82.0,128.0,139.0,51,552,501,0.1783,1.9297
糖类抗原CA242,30430,28608,0.940124876766349,0.07,0.09,20.377900000000007,36.201440000000005,53,546,493,0.1853,1.9086
网织红细胞数目,30289,30064,0.9925715606325729,0.017,0.023,0.148,0.202,51,539,488,0.1696,1.7928
血浆蛋白S活性,28655,28617,0.9986738789042052,28.616,49.0,145.0,175.0,56,543,487,0.1957,1.8975
狼疮抗凝物筛选试验比值,28645,28609,0.9987432361668703,0.8,0.87,1.35,1.82,55,517,462,0.1922,1.8071
网织红细胞百分率,30289,30064,0.9925715606325729,0.5606300000000001,0.68,2.86,3.729370000000017,62,516,454,0.2062,1.7163
狼疮抗凝物标准比值,28645,28609,0.9987432361668703,0.85,0.89,1.23,1.47,51,504,453,0.1783,1.7617
狼疮抗凝物确认试验比值,28645,28609,0.9987432361668703,0.82,0.9,1.19,1.4939199999999981,50,450,400,0.1748,1.5729
淀粉酶,22175,22163,0.9994588500563698,22.0,29.613000000000003,151.9318000000001,281.8939999999966,44,444,400,0.1985,2.0033
游离睾酮,20751,20732,0.9990843814755915,0.007,0.158,0.648,0.8308070000000006,33,412,379,0.1592,1.9873
涎液化糖链抗原,22209,22191,0.9991895177630691,72.19,92.0,595.1999999999971,1332.0500000000065,46,423,377,0.2073,1.9062
尿肌酐,96278,94938,0.9860819709590977,0.9,4.4,26.5,26.5,0,368,368,0.0,0.3876
脂肪酶,22141,22128,0.9994128539813016,10.0,15.0,101.72999999999956,253.8729999999996,45,410,365,0.2034,1.8529
FPSA/TPSA,18285,18265,0.9989062072737216,0.05,0.09,0.56,1.0,14,303,289,0.0766,1.6589
其它结晶,32163,31689,0.9852625687902248,0.0,0.0,3321.3999999999796,11278.200000000172,32,317,285,0.101,1.0003
正常红细胞,32163,31689,0.9852625687902248,0.0,0.0,89.11999999999898,2874.336000000134,32,317,285,0.101,1.0003
小红细胞,32163,31689,0.9852625687902248,0.0,0.0,25.0,148.31200000000172,32,316,284,0.101,0.9972
草酸钙结晶,32163,31689,0.9852625687902248,0.0,0.0,291.0,1118.2480000000069,32,314,282,0.101,0.9909
其它异形红细胞,32163,31689,0.9852625687902248,0.0,0.0,25.0,420.67200000005323,32,313,281,0.101,0.9877
低荧光强度网织红细胞比率,30289,30064,0.9925715606325729,81.3,88.2,98.6,98.6,37,305,268,0.1231,1.0145
未成熟网织红细胞比率,30289,30064,0.9925715606325729,1.4,1.4,11.8,18.7,37,305,268,0.1231,1.0145
影红细胞,32163,31689,0.9852625687902248,0.0,0.0,6.0,85.62400000000343,32,299,267,0.101,0.9435
移形上皮细胞,32163,31689,0.9852625687902248,0.0,0.0,9.0,30.312000000001717,32,297,265,0.101,0.9372
β-羟基丁酸,14151,14142,0.9993640025439898,1.0,23.0,2460.1800000000003,4362.284000000029,15,273,258,0.1061,1.9304
钠,91618,91504,0.9987557030277893,135.0,137.0,147.0,147.0,125,371,246,0.1366,0.4054
未成熟血小板比率,30289,30064,0.9925715606325729,0.8,0.8,5.9,10.493700000000171,31,264,233,0.1031,0.8781
抗核抗体ANA,13133,12880,0.9807355516637478,1.28879,2.33,165.05459999999977,275.32419999999985,26,253,227,0.2019,1.9643
甲状腺球蛋白,12456,12262,0.9844251766217084,0.05,0.15,94.09499999999971,306.6509999999962,18,240,222,0.1468,1.9573
DP-T细胞百分比,11854,11853,0.9999156402901974,0.16,0.28,6.789599999999991,17.25255999999983,17,233,216,0.1434,1.9657
自然杀伤细胞（NK）百分比,11854,11853,0.9999156402901974,2.18,3.8503999999999996,40.49919999999998,53.16887999999995,23,238,215,0.194,2.0079
DN-T细胞百分比,11854,11853,0.9999156402901974,0.35704,0.6552,15.169599999999992,25.169599999999846,24,238,214,0.2025,2.0079
辅助/诱导T淋巴细胞百分比,11854,11853,0.9999156402901974,16.43408,22.3904,59.32959999999999,65.64887999999995,24,238,214,0.2025,2.0079
辅助/诱导T淋巴细胞绝对值,11854,11853,0.9999156402901974,155.40800000000002,239.51999999999998,1486.4799999999996,2043.3679999999877,24,238,214,0.2025,2.0079
总B淋巴细胞绝对值,11854,11853,0.9999156402901974,1.77704,4.66,552.4799999999996,1117.2959999999985,24,237,213,0.2025,1.9995
总T淋巴细胞绝对值,11854,11853,0.9999156402901974,304.556,474.0,2371.4399999999987,3109.1439999999784,24,237,213,0.2025,1.9995
细胞毒/抑制T淋巴细胞绝对值,11854,11853,0.9999156402901974,9.48816,13.32,1051.4799999999996,1535.8879999999954,24,237,213,0.2025,1.9995
总B淋巴细胞百分比,11854,11853,0.9999156402901974,1.5,3.7,482.47999999999956,785.5919999999969,23,234,211,0.194,1.9742
细胞毒/抑制T细胞百分比,11854,11853,0.9999156402901974,8.9852,12.6,883.9199999999983,1248.6639999999861,24,234,210,0.2025,1.9742
辅助T/抑制T淋巴细胞比值,11854,11853,0.9999156402901974,0.32852000000000003,0.56,4.31,6.084439999999977,24,233,209,0.2025,1.9657
NK-T细胞百分比,11854,11853,0.9999156402901974,0.7970400000000001,1.38,24.62,36.29519999999815,24,232,208,0.2025,1.9573
总T淋巴细胞百分比,11854,11853,0.9999156402901974,35.43192,47.352,85.9,89.62071999999989,24,232,208,0.2025,1.9573
自然杀伤细胞（NK）绝对值,11854,11853,0.9999156402901974,32.0,61.0,766.0,1109.1839999999938,23,231,208,0.194,1.9489
调节性T细胞百分比,11854,11853,0.9999156402901974,1.2,1.7,8.1,11.423679999999877,23,227,204,0.194,1.9151
NK-T细胞绝对值,11854,11853,0.9999156402901974,10.852,19.0,476.0,796.255999999983,24,224,200,0.2025,1.8898
血小板比积,13200,13156,0.9966666666666667,0.09,0.12,0.36,0.46,25,217,192,0.19,1.6494
高荧光强度网织红细胞比率,30289,30064,0.9925715606325729,0.0,0.0,1.5,2.8,25,210,185,0.0832,0.6985
阿尔茨海默相关神经丝蛋白,10851,10679,0.9841489263662335,0.02,0.07,2.4521999999999937,5.309320000000007,19,200,181,0.1779,1.8728
DN-T细胞绝对值,11854,11853,0.9999156402901974,2.0,5.0,204.0,376.9959999999792,13,188,175,0.1097,1.5861
C肽,9638,9633,0.9994812201701598,0.36,0.98,6.7,10.216800000000038,19,187,168,0.1972,1.9412
尿酸结晶,32163,31689,0.9852625687902248,0.0,0.0,0.0,21.0,31,173,142,0.0978,0.5459
DP-T细胞绝对值,11854,11853,0.9999156402901974,1.0,2.0,93.0,264.5919999999969,14,155,141,0.1181,1.3077
酵母菌,96276,94937,0.9860920686360048,0.0,0.0,0.0,21.0,91,201,110,0.0959,0.2117
皮质醇,5214,5214,1.0,0.75,3.7891,26.84,33.76122000000054,11,105,94,0.211,2.0138
其它管型,32163,31689,0.9852625687902248,0.0,0.0,0.0,1.0,0,93,93,0.0,0.2935
醛固酮,5211,5211,1.0,1.4763,2.94,36.879999999999924,82.2534999999996,12,105,93,0.2303,2.015
促肾上腺皮质激素,5209,5208,0.9998080245728547,5.69417,8.0905,70.33,120.31751999999643,12,105,93,0.2304,2.0161
肾素,5206,5194,0.9976949673453708,0.85386,1.8551,201.91529999999744,568.48,11,104,93,0.2118,2.0023
N端脑钠肽前体,4772,4664,0.9773679798826488,5.0,5.1126,1068.6019999999996,3424.40543000005,5,94,89,0.1072,2.0154
淋巴细胞计数,4519,4519,1.0,591.144,794.18,3066.019999999997,3977.845999999994,10,92,82,0.2213,2.0358
芒果（IgG）,4250,4245,0.9988235294117647,0.01,1.3843999999999999,37.11240000000002,49.12008000000053,5,86,81,0.1178,2.0259
玉米（IgG）,4250,4245,0.9988235294117647,0.01,1.0483999999999998,44.5500000000002,90.50844000000109,6,86,80,0.1413,2.0259
橄榄(IgG),4250,4244,0.9985882352941177,0.01,0.14579999999999999,45.192699999999974,101.79310999999716,6,86,80,0.1414,2.0264
醛固酮/肾素,5069,5069,1.0,0.010680000000000005,0.04,5.222799999999988,11.95,11,89,78,0.217,1.7558
Omega-6/Omega-3比,4252,4252,1.0,3.303299,4.03653,9.956449999999998,11.746184999999885,10,86,76,0.2352,2.0226
心血管健康指数,4252,4252,1.0,1.281789,1.72018,8.12049,9.172744999999999,10,86,76,0.2352,2.0226
总DHA,4252,4252,1.0,0.620263,0.96851,3.7092899999999953,4.795915999999983,10,86,76,0.2352,2.0226
