item_name,n,n_num,num_share,p001,p01,p99,p999,oor_strict,oor_loose,delta_rows,flagged_rate_released_pct,flagged_rate_alt_pct
钠离子,13,13,1.0,135.012,135.12,143.88,143.988,2,2,0,15.3846,15.3846
钾离子,13,13,1.0,3.4022799999999997,3.4228,4.979999999999999,5.087999999999999,2,2,0,15.3846,15.3846
阴离子间隙,13,13,1.0,6.7276,6.976,17.54,17.594,2,2,0,15.3846,15.3846
妥布霉素,12,12,1.0,1.0,1.0,1.8900000000000006,1.9890000000000008,1,1,0,8.3333,8.3333
替卡西林/克拉维酸,12,12,1.0,8.0,8.0,128.0,128.0,0,0,0,0.0,0.0
环丙沙星,12,12,1.0,0.25,0.25,4.0,4.0,0,0,0,0.0,0.0
美罗培南,12,12,1.0,0.25,0.25,16.0,16.0,0,0,0,0.0,0.0
替加环素,11,11,1.0,0.5,0.5,0.9500000000000002,0.9950000000000001,1,1,0,9.0909,9.0909
粘菌素,10,10,1.0,0.5,0.5,14.920000000000002,15.891999999999996,1,1,0,10.0,10.0
胆碱酯酶,8,8,1.0,5549.736,5565.36,9313.349999999999,9432.735,2,2,0,25.0,25.0
血汞,5,5,1.0,0.434544,0.45744,1.92248,1.923848,2,2,0,40.0,40.0
血砷,5,5,1.0,1.337988,1.48188,30.084399999999995,30.839139999999993,2,2,0,40.0,40.0
血钡,5,5,1.0,0.772844,0.89744,7.09664,7.1077639999999995,2,2,0,40.0,40.0
血铅,5,5,1.0,6.192912,6.264119999999999,40.130399999999995,40.67454,2,2,0,40.0,40.0
血铝,5,5,1.0,0.190184,0.19184,15.563120000000001,15.617912,2,2,0,40.0,40.0
血锑,5,5,1.0,0.298348,0.30147999999999997,0.938,0.9416,2,2,0,40.0,40.0
血镉,5,5,1.0,0.21304,0.2224,7.894080000000001,8.170308,2,2,0,40.0,40.0
单个核细胞,4,4,1.0,0.054,0.54,40.901999999999994,41.3502,2,2,0,50.0,50.0
多个核细胞,4,4,1.0,0.1758,1.758,81.79599999999999,81.9796,2,2,0,50.0,50.0
血硒,4,4,1.0,157.806893,159.06593,336.42213000000004,337.192413,2,2,0,50.0,50.0
血钒,4,4,1.0,0.12937200000000001,0.13272,0.7351399999999999,0.7422139999999999,2,2,0,50.0,50.0
血钨,4,4,1.0,0.0060030000000000005,0.00603,0.023519999999999996,0.023951999999999998,2,2,0,50.0,50.0
血钴,4,4,1.0,0.014216,0.01616,0.25803999999999994,0.261604,2,2,0,50.0,50.0
血钼,4,4,1.0,0.654555,0.65955,1.35163,1.3591630000000001,2,2,0,50.0,50.0
血铊,5,4,0.8,0.015035999999999999,0.015359999999999999,0.06916,0.069916,2,2,0,50.0,50.0
血铜,4,4,1.0,505.793884,510.75184,832.49231,832.598231,2,2,0,50.0,50.0
血铬,4,4,1.0,0.600246,0.60246,1.7864899999999997,1.816649,2,2,0,50.0,50.0
血锂,4,4,1.0,21.063889,21.08989,38.51095,38.671195,2,2,0,50.0,50.0
血锌,4,4,1.0,756.96731,758.9051,1060.58343,1066.680543,2,2,0,50.0,50.0
血锡,5,4,0.8,0.009153,0.01053,0.32761999999999997,0.334262,2,2,0,50.0,50.0
血锰,4,4,1.0,9.915084,9.969840000000001,14.417060000000001,14.433206,2,2,0,50.0,50.0
血镍,5,4,0.8,0.005243,0.007429999999999999,0.24761999999999995,0.251562,2,2,0,50.0,50.0
多西环素,3,3,1.0,0.501,0.51,7.859999999999999,7.986,2,2,0,66.6667,66.6667
氧化型谷胱甘肽,3,3,1.0,420.11737999999997,421.48879999999997,504.87504,505.035204,2,2,0,66.6667,66.6667
米诺环素,3,3,1.0,1.0,1.0,3.94,3.9939999999999998,1,1,0,33.3333,33.3333
还原型谷胱甘肽,3,3,1.0,2.8434440000000003,2.86544,5.094939999999999,5.113894,2,2,0,66.6667,66.6667
17-羟基孕烯醇酮,2,2,1.0,0.6423570000000001,0.66357,2.97343,2.994643,2,2,0,100.0,100.0
17-羟孕酮,2,2,1.0,0.702109,0.70309,0.80991,0.810891,2,2,0,100.0,100.0
4-羟基苯甲酸,2,2,1.0,2.707,2.707,2.707,2.707,0,0,0,0.0,0.0
4-羟苯基乙酸,2,2,1.0,15.538,15.538,15.538,15.538,0,0,0,0.0,0.0
丙三羧酸,2,2,1.0,2.083,2.083,2.083,2.083,0,0,0,0.0,0.0
二羟基苯丙酸,2,2,1.0,0.475,0.475,0.475,0.475,0,0,0,0.0,0.0
双氢睾酮,2,2,1.0,177.0614,182.114,732.286,737.3385999999999,2,2,0,100.0,100.0
吲哚乙酸,2,2,1.0,0.284,0.284,0.284,0.284,0,0,0,0.0,0.0
头孢呋辛,2,2,1.0,16.048,16.48,63.519999999999996,63.952,2,2,0,100.0,100.0
孕烯醇酮,2,2,1.0,0.247836,0.25536,1.07464,1.0821640000000001,2,2,0,100.0,100.0
氨曲南,2,2,1.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0
甲基丙二酸,2,2,1.0,3.103,3.103,3.103,3.103,0,0,0,0.0,0.0
皮质酮,2,2,1.0,1.392009,1.45509,8.32391,8.386991,2,2,0,100.0,100.0
维生素A,2,2,1.0,412.68394,413.1694,466.0306,466.51606,2,2,0,100.0,100.0
维生素E,2,2,1.0,8722.71057,8749.3557,11650.7143,11677.35943,2,2,0,100.0,100.0
维生素K1,2,2,1.0,1234.53378,1236.9078,1495.4122,1497.78622,2,2,0,100.0,100.0
脱氢表雄酮,2,2,1.0,0.985277,1.02377,5.21523,5.253723,2,2,0,100.0,100.0
脱氢表雄酮硫酸盐,2,2,1.0,402.754903,427.20703000000003,3089.77197,3114.224097,2,2,0,100.0,100.0
苯丙酸,2,2,1.0,0.131,0.131,0.131,0.131,0,0,0,0.0,0.0
苯乙酸,2,2,1.0,1.757,1.757,1.757,1.757,0,0,0,0.0,0.0
苯甲酸,2,2,1.0,8.644,8.644,8.644,8.644,0,0,0,0.0,0.0
辅酶Q10,2,2,1.0,82.489,82.57000000000001,91.39,91.471,2,2,0,100.0,100.0
雄烯二酮,2,2,1.0,0.386784,0.39384,1.16216,1.169216,2,2,0,100.0,100.0
雌酮,2,2,1.0,21.7435,22.134999999999998,64.765,65.1565,2,2,0,100.0,100.0
马尿酸,2,2,1.0,591.987,591.987,591.987,591.987,0,0,0,0.0,0.0
2-甲基马尿酸,1,1,1.0,0.06,0.06,0.06,0.06,0,0,0,0.0,0.0
α-羟丁酸,1,1,1.0,3.011,3.011,3.011,3.011,0,0,0,0.0,0.0
α-酮β-甲基戊酸,1,1,1.0,1.208,1.208,1.208,1.208,0,0,0,0.0,0.0
α-酮异己酸,1,1,1.0,0.854,0.854,0.854,0.854,0,0,0,0.0,0.0
α-酮异戊酸,1,1,1.0,0.193,0.193,0.193,0.193,0,0,0,0.0,0.0
α-酮戊二酸,1,1,1.0,1.906,1.906,1.906,1.906,0,0,0,0.0,0.0
β-羟基异戊酸,1,1,1.0,14.398,14.398,14.398,14.398,0,0,0,0.0,0.0
万古霉素,1,1,1.0,0.5,0.5,0.5,0.5,0,0,0,0.0,0.0
丙酮酸,1,1,1.0,4.648,4.648,4.648,4.648,0,0,0,0.0,0.0
乙基丙二酸,1,1,1.0,3.168,3.168,3.168,3.168,0,0,0,0.0,0.0
乳清酸,1,1,1.0,0.846,0.846,0.846,0.846,0,0,0,0.0,0.0
保护性雌激素代谢物,1,1,1.0,0.984,0.984,0.984,0.984,0,0,0,0.0,0.0
利福平,1,1,1.0,8.0,8.0,8.0,8.0,0,0,0,0.0,0.0
富马酸,1,1,1.0,0.583,0.583,0.583,0.583,0,0,0,0.0,0.0
己二酸,1,1,1.0,1.336,1.336,1.336,1.336,0,0,0,0.0,0.0
庆大霉素,1,1,1.0,4.0,4.0,4.0,4.0,0,0,0,0.0,0.0
异柠檬酸,1,1,1.0,49.83,49.83,49.83,49.83,0,0,0,0.0,0.0
替考拉宁,1,1,1.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0
柠檬酸,1,1,1.0,1225.362,1225.362,1225.362,1225.362,0,0,0,0.0,0.0
柠苹酸,1,1,1.0,32.1,32.1,32.1,32.1,0,0,0,0.0,0.0
焦谷胺酸,1,1,1.0,18.243,18.243,18.243,18.243,0,0,0,0.0,0.0
琥珀酸,1,1,1.0,13.291,13.291,13.291,13.291,0,0,0,0.0,0.0
白细胞计数(CSF),1,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
红细胞计数(CSF),1,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
羟甲基戊二酸,1,1,1.0,4.347,4.347,4.347,4.347,0,0,0,0.0,0.0
脑脊液氯化物,1,1,1.0,124.0,124.0,124.0,124.0,0,0,0,0.0,0.0
脑脊液葡萄糖,1,1,1.0,5.5,5.5,5.5,5.5,0,0,0,0.0,0.0
脑脊液蛋白,1,1,1.0,0.43,0.43,0.43,0.43,0,0,0,0.0,0.0
致癌性雌激素代谢物,1,1,1.0,0.016,0.016,0.016,0.016,0,0,0,0.0,0.0
苦杏仁酸,1,1,1.0,1.655,1.655,1.655,1.655,0,0,0,0.0,0.0
苯唑西林,1,1,1.0,4.0,4.0,4.0,4.0,0,0,0,0.0,0.0
苯基乙醛酸,1,1,1.0,0.212,0.212,0.212,0.212,0,0,0,0.0,0.0
苹果酸,1,1,1.0,1.18,1.18,1.18,1.18,0,0,0,0.0,0.0
莫西沙星,1,1,1.0,8.0,8.0,8.0,8.0,0,0,0,0.0,0.0
葡萄糖酸,1,1,1.0,4.162,4.162,4.162,4.162,0,0,0,0.0,0.0
辛二酸,1,1,1.0,0.725,0.725,0.725,0.725,0,0,0,0.0,0.0
达托霉素,1,1,1.0,8.0,8.0,8.0,8.0,0,0,0,0.0,0.0
酒石酸,1,1,1.0,2.943,2.943,2.943,2.943,0,0,0,0.0,0.0
阿拉伯糖醇,1,1,1.0,0.707,0.707,0.707,0.707,0,0,0,0.0,0.0
青霉素,1,1,1.0,0.5,0.5,0.5,0.5,0,0,0,0.0,0.0
顺式乌头酸,1,1,1.0,63.234,63.234,63.234,63.234,0,0,0,0.0,0.0
黄尿酸,1,1,1.0,0.235,0.235,0.235,0.235,0,0,0,0.0,0.0
